#    L    TT             EE             TE             PP             TP          
   220   0.406068E+04   0.835048E+00   0.182718E+02   0.251650E+07   0.160476E+04
   221   0.405617E+04   0.863797E+00   0.195793E+02   0.250024E+07   0.159120E+04
   222   0.405118E+04   0.894147E+00   0.208904E+02   0.248411E+07   0.157778E+04
   223   0.404555E+04   0.926014E+00   0.222058E+02   0.246811E+07   0.156448E+04
   224   0.403959E+04   0.959387E+00   0.235218E+02   0.245224E+07   0.155131E+04
   225   0.403307E+04   0.994405E+00   0.248413E+02   0.243650E+07   0.153826E+04
   226   0.402608E+04   0.103106E+01   0.261607E+02   0.242089E+07   0.152533E+04
   227   0.401854E+04   0.106933E+01   0.274814E+02   0.240541E+07   0.151252E+04
   228   0.401059E+04   0.110923E+01   0.288020E+02   0.239005E+07   0.149983E+04
   229   0.400218E+04   0.115080E+01   0.301210E+02   0.237482E+07   0.148725E+04
   230   0.399322E+04   0.119404E+01   0.314391E+02   0.235971E+07   0.147479E+04
   231   0.398371E+04   0.123901E+01   0.327555E+02   0.234472E+07   0.146244E+04
   232   0.397382E+04   0.128563E+01   0.340689E+02   0.232986E+07   0.145019E+04
   233   0.396346E+04   0.133411E+01   0.353777E+02   0.231512E+07   0.143806E+04
   234   0.395249E+04   0.138430E+01   0.366827E+02   0.230049E+07   0.142603E+04
   235   0.394113E+04   0.143625E+01   0.379824E+02   0.228599E+07   0.141411E+04
   236   0.392925E+04   0.148996E+01   0.392767E+02   0.227160E+07   0.140228E+04
   237   0.391690E+04   0.154549E+01   0.405643E+02   0.225733E+07   0.139056E+04
   238   0.390410E+04   0.160290E+01   0.418451E+02   0.224317E+07   0.137894E+04
   239   0.389092E+04   0.166205E+01   0.431184E+02   0.222913E+07   0.136741E+04
   240   0.387714E+04   0.172298E+01   0.443820E+02   0.221520E+07   0.135597E+04
   241   0.386307E+04   0.178584E+01   0.456365E+02   0.220138E+07   0.134463E+04
   242   0.384854E+04   0.185047E+01   0.468813E+02   0.218767E+07   0.133338E+04
   243   0.383357E+04   0.191701E+01   0.481149E+02   0.217407E+07   0.132222E+04
   244   0.381816E+04   0.198538E+01   0.493380E+02   0.216058E+07   0.131114E+04
   245   0.380231E+04   0.205563E+01   0.505477E+02   0.214720E+07   0.130015E+04
   246   0.378609E+04   0.212776E+01   0.517455E+02   0.213392E+07   0.128924E+04
   247   0.376951E+04   0.220169E+01   0.529290E+02   0.212075E+07   0.127840E+04
   248   0.375249E+04   0.227778E+01   0.540985E+02   0.210768E+07   0.126765E+04
   249   0.373519E+04   0.235548E+01   0.552530E+02   0.209472E+07   0.125698E+04
   250   0.371746E+04   0.243526E+01   0.563911E+02   0.208186E+07   0.124638E+04
   251   0.369944E+04   0.251678E+01   0.575136E+02   0.206910E+07   0.123585E+04
   252   0.368093E+04   0.260026E+01   0.586192E+02   0.205644E+07   0.122539E+04
   253   0.366228E+04   0.268547E+01   0.597067E+02   0.204387E+07   0.121501E+04
   254   0.364320E+04   0.277268E+01   0.607762E+02   0.203141E+07   0.120470E+04
   255   0.362377E+04   0.286157E+01   0.618281E+02   0.201904E+07   0.119445E+04
   256   0.360406E+04   0.295251E+01   0.628624E+02   0.200677E+07   0.118428E+04
   257   0.358406E+04   0.304503E+01   0.638713E+02   0.199460E+07   0.117418E+04
   258   0.356371E+04   0.313949E+01   0.648677E+02   0.198252E+07   0.116415E+04
   259   0.354308E+04   0.323572E+01   0.658368E+02   0.197054E+07   0.115418E+04
   260   0.352225E+04   0.333371E+01   0.667938E+02   0.195865E+07   0.114428E+04
   261   0.350105E+04   0.343336E+01   0.677167E+02   0.194685E+07   0.113446E+04
   262   0.347951E+04   0.353489E+01   0.686278E+02   0.193515E+07   0.112469E+04
   263   0.345798E+04   0.363804E+01   0.695201E+02   0.192354E+07   0.111500E+04
   264   0.343602E+04   0.374289E+01   0.703863E+02   0.191202E+07   0.110537E+04
   265   0.341370E+04   0.384934E+01   0.712192E+02   0.190058E+07   0.109580E+04
   266   0.339126E+04   0.395759E+01   0.720413E+02   0.188924E+07   0.108630E+04
   267   0.336846E+04   0.406726E+01   0.728306E+02   0.187799E+07   0.107687E+04
   268   0.334545E+04   0.417871E+01   0.736022E+02   0.186682E+07   0.106750E+04
   269   0.332209E+04   0.429161E+01   0.743488E+02   0.185574E+07   0.105819E+04
   270   0.329867E+04   0.440604E+01   0.750706E+02   0.184475E+07   0.104895E+04
   271   0.327497E+04   0.452189E+01   0.757680E+02   0.183384E+07   0.103976E+04
   272   0.325121E+04   0.463945E+01   0.764336E+02   0.182302E+07   0.103064E+04
   273   0.322717E+04   0.475811E+01   0.770826E+02   0.181228E+07   0.102158E+04
   274   0.320300E+04   0.487844E+01   0.776930E+02   0.180163E+07   0.101259E+04
   275   0.317862E+04   0.499991E+01   0.782871E+02   0.179106E+07   0.100365E+04
   276   0.315419E+04   0.512273E+01   0.788430E+02   0.178056E+07   0.994772E+03
   277   0.312947E+04   0.524688E+01   0.793832E+02   0.177015E+07   0.985953E+03
   278   0.310470E+04   0.537227E+01   0.798856E+02   0.175982E+07   0.977194E+03
   279   0.307979E+04   0.549881E+01   0.803579E+02   0.174957E+07   0.968493E+03
   280   0.305475E+04   0.562648E+01   0.808151E+02   0.173940E+07   0.959849E+03
   281   0.302973E+04   0.575533E+01   0.812352E+02   0.172931E+07   0.951263E+03
   282   0.300443E+04   0.588507E+01   0.816259E+02   0.171929E+07   0.942734E+03
   283   0.297914E+04   0.601589E+01   0.819873E+02   0.170935E+07   0.934261E+03
   284   0.295380E+04   0.614770E+01   0.823197E+02   0.169948E+07   0.925844E+03
   285   0.292840E+04   0.628049E+01   0.826234E+02   0.168969E+07   0.917482E+03
   286   0.290287E+04   0.641409E+01   0.828910E+02   0.167998E+07   0.909174E+03
   287   0.287728E+04   0.654848E+01   0.831377E+02   0.167033E+07   0.900921E+03
   288   0.285170E+04   0.668366E+01   0.833489E+02   0.166076E+07   0.892722E+03
   289   0.282607E+04   0.681952E+01   0.835323E+02   0.165126E+07   0.884576E+03
   290   0.280045E+04   0.695590E+01   0.836879E+02   0.164184E+07   0.876482E+03
   291   0.277486E+04   0.709354E+01   0.838013E+02   0.163248E+07   0.868441E+03
   292   0.274898E+04   0.723129E+01   0.838949E+02   0.162319E+07   0.860451E+03
   293   0.272341E+04   0.736878E+01   0.839467E+02   0.161397E+07   0.852513E+03
   294   0.269771E+04   0.750746E+01   0.839791E+02   0.160482E+07   0.844625E+03
   295   0.267226E+04   0.764585E+01   0.839701E+02   0.159573E+07   0.836787E+03
   296   0.264667E+04   0.778540E+01   0.839349E+02   0.158672E+07   0.828999E+03
   297   0.262117E+04   0.792388E+01   0.838735E+02   0.157776E+07   0.821260E+03
