#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   126   0.261610E+04  -0.319088E+02   0.224268E-03  -0.319088E+02   0.970795E+00  -0.109860E-05   0.224268E-03  -0.109860E-05   0.104472E-06
   127   0.264155E+04  -0.322838E+02   0.221928E-03  -0.322838E+02   0.974563E+00  -0.109788E-05   0.221928E-03  -0.109788E-05   0.103730E-06
   128   0.266701E+04  -0.326454E+02   0.219623E-03  -0.326454E+02   0.977941E+00  -0.109592E-05   0.219623E-03  -0.109592E-05   0.102993E-06
   129   0.269257E+04  -0.329930E+02   0.217350E-03  -0.329930E+02   0.980784E+00  -0.109238E-05   0.217350E-03  -0.109238E-05   0.102261E-06
   130   0.271814E+04  -0.333258E+02   0.215108E-03  -0.333258E+02   0.983092E+00  -0.108693E-05   0.215108E-03  -0.108693E-05   0.101533E-06
   131   0.274374E+04  -0.336454E+02   0.212896E-03  -0.336454E+02   0.985016E+00  -0.107933E-05   0.212896E-03  -0.107933E-05   0.100811E-06
   132   0.276943E+04  -0.339488E+02   0.210713E-03  -0.339488E+02   0.986410E+00  -0.106967E-05   0.210713E-03  -0.106967E-05   0.100094E-06
   133   0.279506E+04  -0.342385E+02   0.208559E-03  -0.342385E+02   0.987352E+00  -0.105809E-05   0.208559E-03  -0.105809E-05   0.993822E-07
   134   0.282071E+04  -0.345100E+02   0.206434E-03  -0.345100E+02   0.987846E+00  -0.104476E-05   0.206434E-03  -0.104476E-05   0.986750E-07
   135   0.284638E+04  -0.347665E+02   0.204337E-03  -0.347665E+02   0.987821E+00  -0.102983E-05   0.204337E-03  -0.102983E-05   0.979729E-07
   136   0.287192E+04  -0.350043E+02   0.202268E-03  -0.350043E+02   0.987280E+00  -0.101348E-05   0.202268E-03  -0.101348E-05   0.972757E-07
   137   0.289748E+04  -0.352257E+02   0.200227E-03  -0.352257E+02   0.986302E+00  -0.995845E-06   0.200227E-03  -0.995845E-06   0.965834E-07
   138   0.292298E+04  -0.354294E+02   0.198214E-03  -0.354294E+02   0.984815E+00  -0.977099E-06   0.198214E-03  -0.977099E-06   0.958960E-07
   139   0.294828E+04  -0.356148E+02   0.196227E-03  -0.356148E+02   0.982971E+00  -0.957397E-06   0.196227E-03  -0.957397E-06   0.952136E-07
   140   0.297367E+04  -0.357826E+02   0.194268E-03  -0.357826E+02   0.980552E+00  -0.936900E-06   0.194268E-03  -0.936900E-06   0.945360E-07
   141   0.299885E+04  -0.359307E+02   0.192336E-03  -0.359307E+02   0.977635E+00  -0.915767E-06   0.192336E-03  -0.915767E-06   0.938633E-07
   142   0.302405E+04  -0.360600E+02   0.190430E-03  -0.360600E+02   0.974297E+00  -0.894156E-06   0.190430E-03  -0.894156E-06   0.931955E-07
   143   0.304919E+04  -0.361706E+02   0.188550E-03  -0.361706E+02   0.970543E+00  -0.872229E-06   0.188550E-03  -0.872229E-06   0.925325E-07
