#    L    TT             EE             BB             TE          
   265   0.357641E+04   0.407247E+01   0.161291E-01   0.743087E+02
   266   0.355292E+04   0.418581E+01   0.162314E-01   0.751584E+02
   267   0.352908E+04   0.430062E+01   0.163332E-01   0.759742E+02
   268   0.350502E+04   0.441724E+01   0.164343E-01   0.767711E+02
   269   0.348059E+04   0.453537E+01   0.165349E-01   0.775420E+02
   270   0.345611E+04   0.465505E+01   0.166348E-01   0.782871E+02
   271   0.343134E+04   0.477620E+01   0.167342E-01   0.790065E+02
   272   0.340650E+04   0.489909E+01   0.168329E-01   0.796931E+02
   273   0.338138E+04   0.502312E+01   0.169310E-01   0.803619E+02
   274   0.335613E+04   0.514885E+01   0.170286E-01   0.809908E+02
   275   0.333066E+04   0.527575E+01   0.171255E-01   0.816025E+02
   276   0.330513E+04   0.540403E+01   0.172217E-01   0.821747E+02
   277   0.327933E+04   0.553366E+01   0.173174E-01   0.827300E+02
   278   0.325346E+04   0.566455E+01   0.174125E-01   0.832463E+02
   279   0.322745E+04   0.579661E+01   0.175069E-01   0.837313E+02
   280   0.320131E+04   0.592982E+01   0.176007E-01   0.842001E+02
   281   0.317519E+04   0.606424E+01   0.176939E-01   0.846305E+02
   282   0.314879E+04   0.619955E+01   0.177865E-01   0.850303E+02
   283   0.312240E+04   0.633596E+01   0.178785E-01   0.853995E+02
   284   0.309596E+04   0.647337E+01   0.179699E-01   0.857386E+02
   285   0.306946E+04   0.661176E+01   0.180606E-01   0.860476E+02
   286   0.304283E+04   0.675098E+01   0.181508E-01   0.863193E+02
   287   0.301614E+04   0.689099E+01   0.182403E-01   0.865689E+02
   288   0.298947E+04   0.703179E+01   0.183293E-01   0.867816E+02
   289   0.296274E+04   0.717328E+01   0.184176E-01   0.869652E+02
   290   0.293604E+04   0.731529E+01   0.185054E-01   0.871198E+02
   291   0.290935E+04   0.745855E+01   0.185926E-01   0.872308E+02
   292   0.288239E+04   0.760192E+01   0.186792E-01   0.873208E+02
   293   0.285574E+04   0.774503E+01   0.187653E-01   0.873675E+02
   294   0.282897E+04   0.788932E+01   0.188507E-01   0.873936E+02
   295   0.280244E+04   0.803331E+01   0.189356E-01   0.873770E+02
   296   0.277578E+04   0.817845E+01   0.190200E-01   0.873327E+02
   297   0.274922E+04   0.832251E+01   0.191037E-01   0.872610E+02
   298   0.272261E+04   0.846769E+01   0.191870E-01   0.871471E+02
   299   0.269617E+04   0.861323E+01   0.192697E-01   0.869989E+02
   300   0.266975E+04   0.875763E+01   0.193518E-01   0.868163E+02
   301   0.264343E+04   0.890236E+01   0.194335E-01   0.866073E+02
   302   0.261728E+04   0.904667E+01   0.195146E-01   0.863719E+02
   303   0.259123E+04   0.919133E+01   0.195952E-01   0.860956E+02
   304   0.256526E+04   0.933633E+01   0.196752E-01   0.857787E+02
   305   0.253945E+04   0.948019E+01   0.197548E-01   0.854364E+02
   306   0.251373E+04   0.962367E+01   0.198339E-01   0.850615E+02
   307   0.248816E+04   0.976677E+01   0.199124E-01   0.846469E+02
   308   0.246274E+04   0.991097E+01   0.199905E-01   0.842150E+02
   309   0.243755E+04   0.100533E+02   0.200681E-01   0.837366E+02
   310   0.241243E+04   0.101946E+02   0.201453E-01   0.832342E+02
   311   0.238753E+04   0.103369E+02   0.202220E-01   0.826931E+02
   312   0.236285E+04   0.104775E+02   0.202982E-01   0.821286E+02
   313   0.233830E+04   0.106177E+02   0.203740E-01   0.815260E+02
   314   0.231396E+04   0.107575E+02   0.204493E-01   0.809005E+02
