#    L    TT             EE             TE             PP             TP          
   207   0.427636E+04   0.618484E+00   0.198310E+01   0.261813E+07   0.184686E+04
   208   0.427866E+04   0.630202E+00   0.324950E+01   0.260052E+07   0.183108E+04
   209   0.428042E+04   0.643178E+00   0.452776E+01   0.258305E+07   0.181547E+04
   210   0.428165E+04   0.657454E+00   0.581694E+01   0.256572E+07   0.180001E+04
   211   0.428234E+04   0.673050E+00   0.711696E+01   0.254854E+07   0.178470E+04
   212   0.428236E+04   0.689987E+00   0.842686E+01   0.253150E+07   0.176954E+04
   213   0.428192E+04   0.708302E+00   0.974665E+01   0.251459E+07   0.175454E+04
   214   0.428088E+04   0.727977E+00   0.110751E+02   0.249783E+07   0.173968E+04
   215   0.427931E+04   0.749197E+00   0.124114E+02   0.248120E+07   0.172496E+04
   216   0.427715E+04   0.771766E+00   0.137562E+02   0.246470E+07   0.171039E+04
   217   0.427454E+04   0.795833E+00   0.151072E+02   0.244835E+07   0.169596E+04
   218   0.427134E+04   0.821388E+00   0.164648E+02   0.243212E+07   0.168166E+04
   219   0.426762E+04   0.848421E+00   0.178299E+02   0.241603E+07   0.166751E+04
   220   0.426339E+04   0.877073E+00   0.191980E+02   0.240007E+07   0.165348E+04
   221   0.425865E+04   0.907261E+00   0.205713E+02   0.238424E+07   0.163960E+04
   222   0.425340E+04   0.939123E+00   0.219482E+02   0.236854E+07   0.162584E+04
   223   0.424749E+04   0.972577E+00   0.233295E+02   0.235296E+07   0.161221E+04
   224   0.424123E+04   0.100761E+01   0.247115E+02   0.233752E+07   0.159871E+04
   225   0.423438E+04   0.104437E+01   0.260971E+02   0.232220E+07   0.158533E+04
   226   0.422704E+04   0.108284E+01   0.274825E+02   0.230700E+07   0.157208E+04
   227   0.421912E+04   0.112302E+01   0.288692E+02   0.229193E+07   0.155894E+04
   228   0.421078E+04   0.116489E+01   0.302558E+02   0.227698E+07   0.154593E+04
   229   0.420194E+04   0.120852E+01   0.316405E+02   0.226216E+07   0.153303E+04
   230   0.419254E+04   0.125390E+01   0.330243E+02   0.224745E+07   0.152025E+04
   231   0.418257E+04   0.130110E+01   0.344063E+02   0.223286E+07   0.150758E+04
   232   0.417219E+04   0.135004E+01   0.357850E+02   0.221840E+07   0.149502E+04
   233   0.416132E+04   0.140092E+01   0.371589E+02   0.220404E+07   0.148257E+04
   234   0.414982E+04   0.145358E+01   0.385287E+02   0.218981E+07   0.147023E+04
   235   0.413790E+04   0.150811E+01   0.398929E+02   0.217569E+07   0.145799E+04
   236   0.412544E+04   0.156448E+01   0.412515E+02   0.216168E+07   0.144586E+04
   237   0.411249E+04   0.162276E+01   0.426029E+02   0.214779E+07   0.143382E+04
   238   0.409907E+04   0.168302E+01   0.439471E+02   0.213401E+07   0.142189E+04
   239   0.408525E+04   0.174510E+01   0.452834E+02   0.212033E+07   0.141005E+04
   240   0.407081E+04   0.180906E+01   0.466094E+02   0.210677E+07   0.139831E+04
   241   0.405605E+04   0.187505E+01   0.479260E+02   0.209332E+07   0.138666E+04
   242   0.404082E+04   0.194290E+01   0.492323E+02   0.207997E+07   0.137510E+04
   243   0.402512E+04   0.201276E+01   0.505268E+02   0.206673E+07   0.136363E+04
   244   0.400896E+04   0.208454E+01   0.518102E+02   0.205359E+07   0.135225E+04
   245   0.399233E+04   0.215830E+01   0.530796E+02   0.204056E+07   0.134095E+04
   246   0.397533E+04   0.223405E+01   0.543363E+02   0.202763E+07   0.132973E+04
   247   0.395794E+04   0.231169E+01   0.555782E+02   0.201481E+07   0.131860E+04
   248   0.394009E+04   0.239159E+01   0.568052E+02   0.200208E+07   0.130754E+04
   249   0.392194E+04   0.247322E+01   0.580166E+02   0.198945E+07   0.129656E+04
   250   0.390333E+04   0.255702E+01   0.592107E+02   0.197692E+07   0.128566E+04
   251   0.388443E+04   0.264267E+01   0.603884E+02   0.196449E+07   0.127483E+04
   252   0.386500E+04   0.273039E+01   0.615484E+02   0.195216E+07   0.126407E+04
   253   0.384543E+04   0.281993E+01   0.626893E+02   0.193992E+07   0.125339E+04
   254   0.382540E+04   0.291157E+01   0.638115E+02   0.192778E+07   0.124277E+04
   255   0.380500E+04   0.300500E+01   0.649150E+02   0.191573E+07   0.123223E+04
   256   0.378431E+04   0.310057E+01   0.660001E+02   0.190377E+07   0.122176E+04
   257   0.376331E+04   0.319782E+01   0.670588E+02   0.189191E+07   0.121135E+04
   258   0.374195E+04   0.329709E+01   0.681040E+02   0.188014E+07   0.120102E+04
   259   0.372028E+04   0.339823E+01   0.691210E+02   0.186846E+07   0.119075E+04
   260   0.369840E+04   0.350121E+01   0.701249E+02   0.185687E+07   0.118056E+04
   261   0.367615E+04   0.360594E+01   0.710936E+02   0.184538E+07   0.117043E+04
   262   0.365352E+04   0.371262E+01   0.720495E+02   0.183397E+07   0.116037E+04
   263   0.363090E+04   0.382102E+01   0.729856E+02   0.182265E+07   0.115038E+04
   264   0.360784E+04   0.393120E+01   0.738945E+02   0.181142E+07   0.114045E+04
   265   0.358441E+04   0.404305E+01   0.747690E+02   0.180027E+07   0.113059E+04
   266   0.356083E+04   0.415678E+01   0.756316E+02   0.178922E+07   0.112080E+04
   267   0.353689E+04   0.427201E+01   0.764602E+02   0.177824E+07   0.111107E+04
   268   0.351273E+04   0.438908E+01   0.772700E+02   0.176736E+07   0.110140E+04
   269   0.348820E+04   0.450768E+01   0.780536E+02   0.175656E+07   0.109180E+04
   270   0.346361E+04   0.462787E+01   0.788114E+02   0.174584E+07   0.108227E+04
   271   0.343872E+04   0.474956E+01   0.795434E+02   0.173520E+07   0.107279E+04
   272   0.341377E+04   0.487301E+01   0.802425E+02   0.172465E+07   0.106338E+04
   273   0.338852E+04   0.499763E+01   0.809237E+02   0.171418E+07   0.105403E+04
   274   0.336314E+04   0.512399E+01   0.815649E+02   0.170379E+07   0.104475E+04
   275   0.333754E+04   0.525154E+01   0.821888E+02   0.169348E+07   0.103552E+04
   276   0.331188E+04   0.538050E+01   0.827730E+02   0.168324E+07   0.102636E+04
   277   0.328593E+04   0.551084E+01   0.833403E+02   0.167309E+07   0.101725E+04
   278   0.325991E+04   0.564247E+01   0.838684E+02   0.166302E+07   0.100821E+04
   279   0.323376E+04   0.577531E+01   0.843650E+02   0.165302E+07   0.999220E+03
   280   0.320747E+04   0.590932E+01   0.848452E+02   0.164310E+07   0.990293E+03
   281   0.318119E+04   0.604457E+01   0.852869E+02   0.163326E+07   0.981425E+03
   282   0.315462E+04   0.618075E+01   0.856978E+02   0.162349E+07   0.972614E+03
   283   0.312807E+04   0.631805E+01   0.860780E+02   0.161379E+07   0.963861E+03
   284   0.310146E+04   0.645639E+01   0.864277E+02   0.160417E+07   0.955165E+03
   285   0.307478E+04   0.659574E+01   0.867472E+02   0.159462E+07   0.946525E+03
   286   0.304798E+04   0.673594E+01   0.870292E+02   0.158514E+07   0.937941E+03
   287   0.302111E+04   0.687697E+01   0.872888E+02   0.157574E+07   0.929412E+03
   288   0.299425E+04   0.701881E+01   0.875114E+02   0.156640E+07   0.920939E+03
   289   0.296734E+04   0.716137E+01   0.877045E+02   0.155714E+07   0.912519E+03
   290   0.294044E+04   0.730449E+01   0.878685E+02   0.154795E+07   0.904154E+03
   291   0.291356E+04   0.744889E+01   0.879885E+02   0.153882E+07   0.895842E+03
   292   0.288640E+04   0.759342E+01   0.880872E+02   0.152976E+07   0.887583E+03
   293   0.285956E+04   0.773772E+01   0.881425E+02   0.152077E+07   0.879377E+03
   294   0.283258E+04   0.788324E+01   0.881768E+02   0.151185E+07   0.871222E+03
   295   0.280584E+04   0.802847E+01   0.881680E+02   0.150299E+07   0.863119E+03
   296   0.277898E+04   0.817490E+01   0.881313E+02   0.149420E+07   0.855067E+03
   297   0.275221E+04   0.832026E+01   0.880668E+02   0.148547E+07   0.847066E+03
   298   0.272538E+04   0.846677E+01   0.879599E+02   0.147680E+07   0.839114E+03
   299   0.269872E+04   0.861367E+01   0.878182E+02   0.146820E+07   0.831213E+03
   300   0.267209E+04   0.875946E+01   0.876419E+02   0.145966E+07   0.823360E+03
   301   0.264555E+04   0.890560E+01   0.874387E+02   0.145118E+07   0.815556E+03
   302   0.261917E+04   0.905136E+01   0.872088E+02   0.144276E+07   0.807801E+03
   303   0.259289E+04   0.919748E+01   0.869377E+02   0.143441E+07   0.800095E+03
   304   0.256669E+04   0.934397E+01   0.866256E+02   0.142611E+07   0.792439E+03
   305   0.254066E+04   0.948935E+01   0.862877E+02   0.141787E+07   0.784832E+03
   306   0.251470E+04   0.963436E+01   0.859168E+02   0.140970E+07   0.777276E+03
   307   0.248890E+04   0.977901E+01   0.855058E+02   0.140158E+07   0.769771E+03
   308   0.246325E+04   0.992480E+01   0.850772E+02   0.139352E+07   0.762316E+03
   309   0.243782E+04   0.100688E+02   0.846015E+02   0.138552E+07   0.754913E+03
   310   0.241246E+04   0.102116E+02   0.841014E+02   0.137757E+07   0.747561E+03
   311   0.238732E+04   0.103556E+02   0.835623E+02   0.136969E+07   0.740261E+03
   312   0.236240E+04   0.104978E+02   0.829993E+02   0.136186E+07   0.733013E+03
   313   0.233761E+04   0.106397E+02   0.823978E+02   0.135408E+07   0.725818E+03
   314   0.231303E+04   0.107813E+02   0.817729E+02   0.134636E+07   0.718676E+03
   315   0.228866E+04   0.109210E+02   0.811102E+02   0.133870E+07   0.711587E+03
   316   0.226449E+04   0.110605E+02   0.804172E+02   0.133109E+07   0.704551E+03
   317   0.224052E+04   0.111981E+02   0.796942E+02   0.132354E+07   0.697570E+03
   318   0.221674E+04   0.113362E+02   0.789416E+02   0.131604E+07   0.690643E+03
   319   0.219324E+04   0.114725E+02   0.781596E+02   0.130860E+07   0.683770E+03
   320   0.217001E+04   0.116078E+02   0.773559E+02   0.130121E+07   0.676952E+03
