#    L    TT             EE             BB             TE             PP             TP             EP          
   183   0.406428E+04   0.636309E+00   0.694635E-04  -0.236670E+02   0.668660E-07   0.134029E-03  -0.433693E-06
   184   0.407869E+04   0.627350E+00   0.688327E-04  -0.228202E+02   0.663977E-07   0.132849E-03  -0.428210E-06
   185   0.409266E+04   0.618932E+00   0.682599E-04  -0.219529E+02   0.659333E-07   0.131679E-03  -0.422678E-06
   186   0.410584E+04   0.610916E+00   0.677426E-04  -0.210623E+02   0.654728E-07   0.130521E-03  -0.417078E-06
   187   0.411889E+04   0.603449E+00   0.672786E-04  -0.201498E+02   0.650161E-07   0.129373E-03  -0.411389E-06
   188   0.413143E+04   0.596519E+00   0.668656E-04  -0.192172E+02   0.645633E-07   0.128236E-03  -0.405590E-06
   189   0.414341E+04   0.590167E+00   0.665013E-04  -0.182631E+02   0.641142E-07   0.127109E-03  -0.399661E-06
   190   0.415526E+04   0.584449E+00   0.661835E-04  -0.172899E+02   0.636688E-07   0.125994E-03  -0.393580E-06
   191   0.416624E+04   0.579390E+00   0.659099E-04  -0.162947E+02   0.632272E-07   0.124889E-03  -0.387327E-06
   192   0.417687E+04   0.575017E+00   0.656782E-04  -0.152798E+02   0.627892E-07   0.123795E-03  -0.380881E-06
   193   0.418694E+04   0.571379E+00   0.654860E-04  -0.142470E+02   0.623549E-07   0.122711E-03  -0.374222E-06
   194   0.419667E+04   0.568508E+00   0.653312E-04  -0.131942E+02   0.619241E-07   0.121638E-03  -0.367328E-06
   195   0.420583E+04   0.566446E+00   0.652114E-04  -0.121236E+02   0.614970E-07   0.120576E-03  -0.360181E-06
   196   0.421443E+04   0.565234E+00   0.651244E-04  -0.110347E+02   0.610733E-07   0.119524E-03  -0.352757E-06
   197   0.422263E+04   0.564920E+00   0.650678E-04  -0.992903E+01   0.606532E-07   0.118483E-03  -0.345037E-06
   198   0.423033E+04   0.565529E+00   0.650394E-04  -0.880609E+01   0.602365E-07   0.117452E-03  -0.337001E-06
   199   0.423756E+04   0.567104E+00   0.650369E-04  -0.766672E+01   0.598233E-07   0.116431E-03  -0.328627E-06
   200   0.424430E+04   0.569677E+00   0.650580E-04  -0.651179E+01   0.594135E-07   0.115421E-03  -0.319895E-06
   201   0.425049E+04   0.573309E+00   0.651007E-04  -0.534068E+01   0.590070E-07   0.114420E-03  -0.310789E-06
   202   0.425620E+04   0.578002E+00   0.651637E-04  -0.415492E+01   0.586039E-07   0.113431E-03  -0.301315E-06
   203   0.426136E+04   0.583805E+00   0.652461E-04  -0.295380E+01   0.582041E-07   0.112451E-03  -0.291480E-06
   204   0.426590E+04   0.590732E+00   0.653468E-04  -0.174031E+01   0.578076E-07   0.111481E-03  -0.281296E-06
   205   0.426997E+04   0.598818E+00   0.654649E-04  -0.512262E+00   0.574144E-07   0.110521E-03  -0.270772E-06
   206   0.427342E+04   0.608092E+00   0.655993E-04   0.729061E+00   0.570244E-07   0.109570E-03  -0.259917E-06
   207   0.427641E+04   0.618566E+00   0.657491E-04   0.198318E+01   0.566376E-07   0.108629E-03  -0.248741E-06
   208   0.427871E+04   0.630285E+00   0.659132E-04   0.324955E+01   0.562540E-07   0.107698E-03  -0.237254E-06
   209   0.428047E+04   0.643260E+00   0.660907E-04   0.452778E+01   0.558736E-07   0.106776E-03  -0.225466E-06
   210   0.428169E+04   0.657535E+00   0.662806E-04   0.581693E+01   0.554963E-07   0.105863E-03  -0.213386E-06
   211   0.428239E+04   0.673131E+00   0.664819E-04   0.711692E+01   0.551221E-07   0.104959E-03  -0.201023E-06
   212   0.428240E+04   0.690069E+00   0.666935E-04   0.842679E+01   0.547511E-07   0.104064E-03  -0.188389E-06
   213   0.428196E+04   0.708384E+00   0.669145E-04   0.974655E+01   0.543831E-07   0.103178E-03  -0.175491E-06
   214   0.428092E+04   0.728059E+00   0.671440E-04   0.110750E+02   0.540181E-07   0.102301E-03  -0.162339E-06
   215   0.427935E+04   0.749279E+00   0.673808E-04   0.124113E+02   0.536562E-07   0.101432E-03  -0.148945E-06
   216   0.427719E+04   0.771849E+00   0.676240E-04   0.137560E+02   0.532972E-07   0.100572E-03  -0.135316E-06
   217   0.427458E+04   0.795916E+00   0.678726E-04   0.151070E+02   0.529412E-07   0.997203E-04  -0.121463E-06
   218   0.427138E+04   0.821471E+00   0.681256E-04   0.164646E+02   0.525882E-07   0.988767E-04  -0.107395E-06
   219   0.426766E+04   0.848505E+00   0.683821E-04   0.178296E+02   0.522381E-07   0.980413E-04  -0.931223E-07
   220   0.426343E+04   0.877158E+00   0.686409E-04   0.191977E+02   0.518908E-07   0.972139E-04  -0.786541E-07
   221   0.425869E+04   0.907346E+00   0.689012E-04   0.205709E+02   0.515465E-07   0.963944E-04  -0.640001E-07
   222   0.425344E+04   0.939209E+00   0.691619E-04   0.219478E+02   0.512049E-07   0.955826E-04  -0.491700E-07
   223   0.424753E+04   0.972663E+00   0.694220E-04   0.233292E+02   0.508662E-07   0.947785E-04  -0.341733E-07
   224   0.424126E+04   0.100770E+01   0.696806E-04   0.247111E+02   0.505303E-07   0.939820E-04  -0.190198E-07
   225   0.423442E+04   0.104446E+01   0.699366E-04   0.260967E+02   0.501972E-07   0.931929E-04  -0.371908E-08
   226   0.422708E+04   0.108293E+01   0.701890E-04   0.274821E+02   0.498667E-07   0.924110E-04   0.117193E-07
   227   0.421916E+04   0.112311E+01   0.704369E-04   0.288688E+02   0.495391E-07   0.916363E-04   0.272856E-07
   228   0.421082E+04   0.116498E+01   0.706792E-04   0.302552E+02   0.492141E-07   0.908687E-04   0.429703E-07
   229   0.420198E+04   0.120861E+01   0.709150E-04   0.316400E+02   0.488917E-07   0.901081E-04   0.587637E-07
