#    L    TT             EE             BB             TE          
   270   0.345609E+04   0.465493E+01   0.165697E-01   0.782875E+02
   271   0.343132E+04   0.477608E+01   0.166696E-01   0.790069E+02
   272   0.340649E+04   0.489897E+01   0.167689E-01   0.796935E+02
   273   0.338137E+04   0.502300E+01   0.168676E-01   0.803622E+02
   274   0.335611E+04   0.514873E+01   0.169657E-01   0.809912E+02
   275   0.333065E+04   0.527563E+01   0.170632E-01   0.816028E+02
   276   0.330512E+04   0.540391E+01   0.171601E-01   0.821750E+02
   277   0.327931E+04   0.553354E+01   0.172564E-01   0.827303E+02
   278   0.325344E+04   0.566443E+01   0.173520E-01   0.832466E+02
   279   0.322744E+04   0.579649E+01   0.174471E-01   0.837316E+02
   280   0.320130E+04   0.592970E+01   0.175415E-01   0.842003E+02
   281   0.317518E+04   0.606412E+01   0.176354E-01   0.846307E+02
   282   0.314878E+04   0.619943E+01   0.177286E-01   0.850304E+02
   283   0.312239E+04   0.633584E+01   0.178212E-01   0.853997E+02
   284   0.309595E+04   0.647325E+01   0.179132E-01   0.857387E+02
   285   0.306945E+04   0.661165E+01   0.180046E-01   0.860476E+02
   286   0.304282E+04   0.675086E+01   0.180953E-01   0.863194E+02
   287   0.301613E+04   0.689088E+01   0.181855E-01   0.865689E+02
   288   0.298946E+04   0.703168E+01   0.182751E-01   0.867816E+02
   289   0.296273E+04   0.717316E+01   0.183641E-01   0.869652E+02
   290   0.293603E+04   0.731518E+01   0.184525E-01   0.871198E+02
   291   0.290934E+04   0.745844E+01   0.185403E-01   0.872308E+02
   292   0.288238E+04   0.760181E+01   0.186275E-01   0.873207E+02
   293   0.285573E+04   0.774491E+01   0.187141E-01   0.873675E+02
   294   0.282896E+04   0.788921E+01   0.188002E-01   0.873935E+02
   295   0.280243E+04   0.803320E+01   0.188856E-01   0.873769E+02
   296   0.277577E+04   0.817834E+01   0.189706E-01   0.873326E+02
   297   0.274921E+04   0.832240E+01   0.190549E-01   0.872608E+02
   298   0.272260E+04   0.846758E+01   0.191387E-01   0.871470E+02
   299   0.269616E+04   0.861312E+01   0.192219E-01   0.869987E+02
   300   0.266975E+04   0.875752E+01   0.193046E-01   0.868161E+02
   301   0.264343E+04   0.890225E+01   0.193867E-01   0.866070E+02
   302   0.261728E+04   0.904657E+01   0.194684E-01   0.863716E+02
   303   0.259122E+04   0.919123E+01   0.195494E-01   0.860953E+02
   304   0.256525E+04   0.933623E+01   0.196300E-01   0.857785E+02
   305   0.253944E+04   0.948009E+01   0.197100E-01   0.854361E+02
   306   0.251372E+04   0.962357E+01   0.197895E-01   0.850612E+02
   307   0.248815E+04   0.976667E+01   0.198685E-01   0.846466E+02
   308   0.246274E+04   0.991088E+01   0.199470E-01   0.842147E+02
   309   0.243754E+04   0.100532E+02   0.200250E-01   0.837363E+02
   310   0.241242E+04   0.101945E+02   0.201026E-01   0.832338E+02
   311   0.238752E+04   0.103369E+02   0.201796E-01   0.826928E+02
   312   0.236284E+04   0.104774E+02   0.202562E-01   0.821282E+02
   313   0.233829E+04   0.106176E+02   0.203324E-01   0.815256E+02
   314   0.231395E+04   0.107575E+02   0.204081E-01   0.809001E+02
   315   0.228982E+04   0.108955E+02   0.204833E-01   0.802372E+02
   316   0.226590E+04   0.110332E+02   0.205582E-01   0.795444E+02
   317   0.224217E+04   0.111691E+02   0.206326E-01   0.788222E+02
   318   0.221865E+04   0.113055E+02   0.207066E-01   0.780708E+02
   319   0.219539E+04   0.114400E+02   0.207802E-01   0.772904E+02
   320   0.217240E+04   0.115735E+02   0.208535E-01   0.764888E+02
   321   0.214961E+04   0.117067E+02   0.209263E-01   0.756515E+02
   322   0.212707E+04   0.118374E+02   0.209989E-01   0.747860E+02
   323   0.210479E+04   0.119671E+02   0.210711E-01   0.738928E+02
   324   0.208277E+04   0.120965E+02   0.211429E-01   0.729645E+02
   325   0.206107E+04   0.122219E+02   0.212145E-01   0.720239E+02
   326   0.203955E+04   0.123478E+02   0.212858E-01   0.710415E+02
   327   0.201835E+04   0.124720E+02   0.213568E-01   0.700398E+02
   328   0.199747E+04   0.125937E+02   0.214275E-01   0.690191E+02
   329   0.197683E+04   0.127144E+02   0.214981E-01   0.679649E+02
   330   0.195651E+04   0.128326E+02   0.215684E-01   0.668848E+02
   331   0.193657E+04   0.129491E+02   0.216385E-01   0.657866E+02
   332   0.191686E+04   0.130647E+02   0.217084E-01   0.646704E+02
   333   0.189745E+04   0.131778E+02   0.217782E-01   0.635293E+02
   334   0.187843E+04   0.132892E+02   0.218478E-01   0.623634E+02
   335   0.185962E+04   0.133975E+02   0.219174E-01   0.611730E+02
   336   0.184119E+04   0.135041E+02   0.219868E-01   0.599659E+02
   337   0.182312E+04   0.136090E+02   0.220562E-01   0.587274E+02
   338   0.180535E+04   0.137107E+02   0.221255E-01   0.574801E+02
   339   0.178800E+04   0.138116E+02   0.221948E-01   0.562094E+02
   340   0.177095E+04   0.139092E+02   0.222642E-01   0.549305E+02
   341   0.175417E+04   0.140038E+02   0.223335E-01   0.536213E+02
   342   0.173782E+04   0.140975E+02   0.224029E-01   0.522970E+02
   343   0.172182E+04   0.141873E+02   0.224724E-01   0.509579E+02
   344   0.170625E+04   0.142747E+02   0.225420E-01   0.496042E+02
   345   0.169094E+04   0.143591E+02   0.226117E-01   0.482362E+02
   346   0.167605E+04   0.144418E+02   0.226815E-01   0.468615E+02
   347   0.166149E+04   0.145207E+02   0.227516E-01   0.454657E+02
   348   0.164735E+04   0.145965E+02   0.228218E-01   0.440564E+02
   349   0.163354E+04   0.146700E+02   0.228923E-01   0.426338E+02
   350   0.162013E+04   0.147396E+02   0.229630E-01   0.412057E+02
   351   0.160727E+04   0.148070E+02   0.230340E-01   0.397649E+02
   352   0.159459E+04   0.148713E+02   0.231053E-01   0.383114E+02
   353   0.158237E+04   0.149319E+02   0.231769E-01   0.368599E+02
   354   0.157047E+04   0.149896E+02   0.232488E-01   0.353882E+02
   355   0.155902E+04   0.150444E+02   0.233212E-01   0.339111E+02
   356   0.154796E+04   0.150964E+02   0.233939E-01   0.324359E+02
   357   0.153728E+04   0.151449E+02   0.234671E-01   0.309477E+02
   358   0.152704E+04   0.151891E+02   0.235407E-01   0.294613E+02
   359   0.151710E+04   0.152307E+02   0.236147E-01   0.279619E+02
   360   0.150760E+04   0.152696E+02   0.236893E-01   0.264605E+02
   361   0.149846E+04   0.153051E+02   0.237644E-01   0.249526E+02
   362   0.148975E+04   0.153374E+02   0.238399E-01   0.234411E+02
   363   0.148139E+04   0.153671E+02   0.239161E-01   0.219283E+02
   364   0.147345E+04   0.153922E+02   0.239928E-01   0.204103E+02
   365   0.146587E+04   0.154149E+02   0.240700E-01   0.188930E+02
   366   0.145869E+04   0.154344E+02   0.241479E-01   0.173734E+02
   367   0.145193E+04   0.154494E+02   0.242264E-01   0.158537E+02
   368   0.144543E+04   0.154621E+02   0.243056E-01   0.143354E+02
   369   0.143948E+04   0.154718E+02   0.243854E-01   0.128161E+02
   370   0.143386E+04   0.154779E+02   0.244659E-01   0.113009E+02
   371   0.142855E+04   0.154803E+02   0.245470E-01   0.978621E+01
   372   0.142364E+04   0.154800E+02   0.246289E-01   0.827632E+01
   373   0.141912E+04   0.154760E+02   0.247114E-01   0.676822E+01
   374   0.141498E+04   0.154694E+02   0.247947E-01   0.526557E+01
   375   0.141115E+04   0.154593E+02   0.248788E-01   0.376832E+01
   376   0.140777E+04   0.154465E+02   0.249635E-01   0.227642E+01
   377   0.140476E+04   0.154297E+02   0.250491E-01   0.792778E+00
   378   0.140204E+04   0.154095E+02   0.251354E-01  -0.685629E+00
