#    L    TT             EE             BB             TE          
   341   0.174673E+04   0.140759E+02   0.356197E-04   0.543314E+02
   342   0.173016E+04   0.141713E+02   0.355325E-04   0.529942E+02
   343   0.171394E+04   0.142628E+02   0.354526E-04   0.516417E+02
   344   0.169815E+04   0.143519E+02   0.353796E-04   0.502741E+02
   345   0.168262E+04   0.144378E+02   0.353135E-04   0.488918E+02
   346   0.166752E+04   0.145222E+02   0.352540E-04   0.475024E+02
   347   0.165276E+04   0.146027E+02   0.352012E-04   0.460914E+02
   348   0.163841E+04   0.146800E+02   0.351547E-04   0.446663E+02
   349   0.162440E+04   0.147551E+02   0.351145E-04   0.432277E+02
   350   0.161079E+04   0.148262E+02   0.350804E-04   0.417830E+02
   351   0.159774E+04   0.148951E+02   0.350522E-04   0.403252E+02
   352   0.158487E+04   0.149608E+02   0.350297E-04   0.388543E+02
   353   0.157247E+04   0.150229E+02   0.350125E-04   0.373850E+02
   354   0.156039E+04   0.150819E+02   0.350004E-04   0.358950E+02
   355   0.154877E+04   0.151381E+02   0.349931E-04   0.343992E+02
   356   0.153754E+04   0.151914E+02   0.349903E-04   0.329049E+02
   357   0.152669E+04   0.152411E+02   0.349917E-04   0.313972E+02
   358   0.151629E+04   0.152866E+02   0.349970E-04   0.298910E+02
   359   0.150619E+04   0.153293E+02   0.350060E-04   0.283714E+02
   360   0.149654E+04   0.153693E+02   0.350183E-04   0.268494E+02
   361   0.148725E+04   0.154059E+02   0.350337E-04   0.253205E+02
   362   0.147840E+04   0.154392E+02   0.350518E-04   0.237878E+02
   363   0.146991E+04   0.154700E+02   0.350724E-04   0.222533E+02
   364   0.146184E+04   0.154960E+02   0.350953E-04   0.207134E+02
   365   0.145413E+04   0.155195E+02   0.351200E-04   0.191739E+02
   366   0.144684E+04   0.155399E+02   0.351463E-04   0.176318E+02
   367   0.143996E+04   0.155556E+02   0.351739E-04   0.160893E+02
   368   0.143335E+04   0.155691E+02   0.352026E-04   0.145478E+02
   369   0.142730E+04   0.155794E+02   0.352320E-04   0.130051E+02
   370   0.142158E+04   0.155861E+02   0.352619E-04   0.114663E+02
   371   0.141619E+04   0.155891E+02   0.352919E-04   0.992776E+01
   372   0.141120E+04   0.155892E+02   0.353219E-04   0.839377E+01
   373   0.140660E+04   0.155857E+02   0.353514E-04   0.686137E+01
   374   0.140239E+04   0.155794E+02   0.353802E-04   0.533422E+01
   375   0.139849E+04   0.155695E+02   0.354081E-04   0.381228E+01
   376   0.139505E+04   0.155570E+02   0.354346E-04   0.229552E+01
   377   0.139199E+04   0.155403E+02   0.354596E-04   0.786859E+00
   378   0.138923E+04   0.155202E+02   0.354827E-04  -0.716709E+00
   379   0.138684E+04   0.154976E+02   0.355037E-04  -0.221077E+01
   380   0.138489E+04   0.154724E+02   0.355223E-04  -0.369759E+01
   381   0.138322E+04   0.154410E+02   0.355382E-04  -0.517425E+01
   382   0.138185E+04   0.154086E+02   0.355510E-04  -0.664003E+01
   383   0.138090E+04   0.153724E+02   0.355605E-04  -0.809648E+01
   384   0.138038E+04   0.153323E+02   0.355665E-04  -0.953990E+01
   385   0.138006E+04   0.152906E+02   0.355686E-04  -0.109718E+02
   386   0.138016E+04   0.152452E+02   0.355665E-04  -0.123901E+02
   387   0.138052E+04   0.151961E+02   0.355600E-04  -0.137947E+02
   388   0.138122E+04   0.151440E+02   0.355487E-04  -0.151843E+02
   389   0.138225E+04   0.150869E+02   0.355324E-04  -0.165588E+02
   390   0.138361E+04   0.150298E+02   0.355108E-04  -0.179160E+02
   391   0.138529E+04   0.149685E+02   0.354835E-04  -0.192576E+02
   392   0.138722E+04   0.149060E+02   0.354504E-04  -0.205805E+02
   393   0.138954E+04   0.148393E+02   0.354111E-04  -0.218856E+02
